,ranking,isIp,valid,urlLen,is@,isredirect,haveDash,domainLen,label,notlabel
134,13156,0,0,60,0,0,0,13,0,1
135,6,0,1,43,0,0,0,16,0,1
136,51,0,1,27,0,0,0,19,0,1
137,670140,0,1,41,0,0,0,16,0,1
138,10000000,0,1,89,0,0,0,16,1,0
139,10000000,0,0,52,0,0,0,19,1,0
140,186750,0,1,19,0,0,0,14,0,1
141,14969,0,1,27,0,0,0,14,0,1
142,14969,0,1,27,0,0,0,14,0,1
143,10000000,0,0,27,0,0,0,26,1,0
144,10000000,0,1,63,0,0,0,15,1,0
145,10000000,0,1,28,0,0,0,15,0,1
146,10000000,0,1,23,0,0,0,17,0,1
147,10000000,0,0,91,0,0,1,55,1,0
148,14969,0,1,27,0,0,0,14,0,1
149,4570,0,1,361,0,0,1,44,1,0
150,55441,0,1,12,0,0,0,6,1,0
151,10000000,0,0,14,0,0,0,8,1,0
152,10000000,0,1,230,0,0,0,17,1,0
153,10000000,0,1,33,0,0,0,23,0,1
154,10000000,0,1,129,0,0,0,21,1,0
155,4570,0,1,343,0,0,1,44,1,0
156,10000000,0,1,105,0,0,0,14,1,0
157,14969,0,1,27,0,0,0,14,0,1
158,10000000,0,1,103,0,0,0,14,1,0
159,10000000,0,1,59,1,0,0,16,1,0
160,10000000,0,0,35,0,0,0,34,1,0
161,160574,0,1,80,0,0,0,21,1,0
162,10000000,0,1,27,0,0,0,13,0,1
163,10000000,0,0,26,0,0,0,20,0,1
164,10000000,0,1,46,0,0,0,21,0,1
165,14969,0,1,27,0,0,0,14,0,1
166,10000000,0,0,43,0,0,0,25,1,0
167,14969,0,1,27,0,0,0,14,0,1
168,10000000,0,1,44,0,0,0,14,1,0
169,10000000,0,0,171,0,0,1,137,1,0
170,10000000,0,0,39,0,0,0,7,1,0
171,10000000,0,0,43,0,0,0,22,1,0
172,11,0,1,35,0,0,0,34,1,0
173,10000000,0,1,35,0,0,0,15,1,0
174,414686,0,1,43,0,0,1,25,0,1
175,10000000,0,1,24,0,0,0,23,1,0
176,10000000,0,1,18,0,0,0,7,0,1
177,10000000,0,1,33,0,0,0,22,0,1
178,212659,0,1,25,0,0,0,16,0,1
179,1267,0,1,34,0,0,0,20,0,1
180,10000000,0,0,101,0,0,0,11,1,0
181,10000000,0,1,14,0,0,1,13,1,0
182,10000000,0,0,47,0,0,1,29,1,0
183,14969,0,1,27,0,0,0,14,0,1
184,10000000,0,0,43,0,0,1,19,1,0
185,10000000,0,1,47,0,0,0,20,1,0
186,583715,0,1,29,0,0,0,20,0,1
187,23714,0,1,17,0,0,0,16,1,0
188,31046,0,1,34,0,0,0,24,0,1
189,10000000,0,0,28,0,0,0,18,0,1
190,10000000,0,0,22,0,0,1,21,1,0
191,10000000,0,1,39,0,0,0,17,0,1
192,10000000,0,1,310,0,0,0,209,1,0
193,10000000,0,0,136,0,0,1,30,1,0
194,10000000,0,0,48,0,0,0,24,1,0
195,10000000,0,0,49,0,0,0,8,1,0
196,10000000,0,1,106,0,0,0,13,1,0
197,10000000,0,1,56,0,0,0,18,1,0
198,10000000,0,0,159,0,0,0,13,1,0
199,10000000,0,1,73,0,0,0,41,1,0
200,10000000,0,1,19,0,0,0,12,0,1
201,10000000,0,0,32,0,0,1,19,1,0
202,35867,0,0,29,0,0,0,14,0,1
203,755,0,1,33,0,0,0,21,1,0
204,10000000,0,0,54,0,0,0,19,1,0
205,10000000,0,1,30,0,0,0,21,0,1
206,10000000,0,0,67,0,0,1,50,1,0
207,334598,0,1,35,0,0,0,16,0,1
208,10000000,0,1,20,0,0,0,8,0,1
209,10000000,0,0,33,0,0,0,11,1,0
210,10000000,0,0,55,0,0,0,30,1,0
211,10000000,0,0,152,0,0,1,33,1,0
212,10000000,0,0,142,0,0,0,108,1,0
213,10000000,0,0,27,0,0,0,15,1,0
214,10000000,0,1,106,0,0,0,11,1,0
215,10000000,0,1,21,0,0,0,21,1,0
216,10000000,0,0,28,0,0,0,22,0,1
217,31379,0,0,32,0,0,0,22,0,1
218,10000000,0,0,94,0,0,0,14,1,0
219,833,0,1,63,0,0,0,16,0,1
220,4570,0,1,369,0,0,1,44,1,0
221,10000000,0,1,26,0,0,0,19,1,0
222,2344,0,1,44,0,0,0,17,0,1
223,10000000,0,1,31,0,0,0,16,0,1
224,10000000,0,0,47,0,0,0,7,1,0
225,10000000,0,0,180,0,0,1,78,1,0
226,13579,0,0,60,0,0,0,16,0,1
227,10000000,0,0,44,0,0,0,24,1,0
228,10000000,0,1,44,0,0,0,13,1,0
229,10000000,0,0,90,0,0,1,36,1,0
230,10000000,0,1,35,0,0,0,16,0,1
231,10000000,0,1,33,0,0,0,12,1,0
232,14972,0,0,40,0,0,0,16,0,1
233,14969,0,1,26,0,0,0,14,0,1
234,10000000,0,0,47,0,0,0,13,1,0
235,4570,0,1,337,0,0,1,44,1,0
236,10000000,0,0,34,0,0,0,25,0,1
